Date,Last Price,Open Interest,SMAVG (15)
1/25/2024,77.82,42303,40756
1/24/2024,76.3,42070,40520
1/23/2024,75.96,41700,40245
1/22/2024,76.28,41043,39996
1/19/2024,74.84,41227,39790
1/18/2024,75.47,41198,39688
1/17/2024,74.62,41142,39603
1/16/2024,74.86,41470,39489
1/15/2024,75,41524,39343
1/12/2024,75.21,41217,39226
1/11/2024,74.42,40155,39131
1/10/2024,73.76,39830,39117
1/9/2024,74.38,39648,39121
1/8/2024,73.53,38733,39131
1/5/2024,75.59,38086,39239
1/4/2024,74.79,38760,39344
1/3/2024,75.63,37941,39342
1/2/2024,73.72,37959,39312
12/29/2023,74.39,37954,39225
12/28/2023,74.93,39696,39123
12/27/2023,76.9,39929,38826
12/26/2023,77.67,39439,38332
12/22/2023,76.21,39267,37845
12/21/2023,76.89,39781,37334
12/20/2023,77.49,39781,46901
12/19/2023,77.65,39957,56538
12/18/2023,76.74,39877,66167
12/15/2023,75.79,39812,75890
12/14/2023,75.93,40344,85433
12/13/2023,74.14,39668,94913
12/12/2023,73.11,38720,104366
12/11/2023,75.2,37500,113783
12/8/2023,74.61,36645,123230
12/7/2023,73.36,36432,132813
12/6/2023,73.46,35239,142319
12/5/2023,75.39,32520,151856
12/4/2023,76.34,32137,161430
12/1/2023,76.28,31603,170877
11/30/2023,77.8,183275,180442
11/29/2023,79.68,184339,179915
11/28/2023,78.56,184401,179594
11/27/2023,77.5,185713,179266
11/24/2023,77.94,182952,178943
11/23/2023,78.41,182557,178821
11/22/2023,79.01,181456,178831
11/21/2023,79.64,179972,178870
11/20/2023,79.58,179212,168764
11/17/2023,78.1,180392,158692
11/16/2023,75.69,179015,148530
11/15/2023,78.48,178290,138349
11/14/2023,79.04,176133,128169
11/13/2023,79.13,173847,118135
11/10/2023,78.19,175074,108205
11/9/2023,77.14,175366,98180
11/8/2023,76.71,179530,88152
11/7/2023,78.15,179483,77836
11/6/2023,81.08,180870,67538
11/3/2023,80.37,181118,57109
11/2/2023,81.71,182700,46629
11/1/2023,79.98,182041,36047
10/31/2023,80.65,28395,25479
10/30/2023,81.34,28120,25161
10/27/2023,83.37,27973,24847
10/26/2023,82.07,26289,24520
10/25/2023,83.34,25603,24282
10/24/2023,81.87,25616,24049
10/23/2023,82.52,24897,23812
10/20/2023,83.65,24699,23617
10/19/2023,83.94,24941,23682
10/18/2023,83.8,24788,23754
10/17/2023,82.79,25013,23892
10/16/2023,82.5,24437,23949
10/13/2023,83.1,23916,24059
10/12/2023,80.07,23971,24142
10/11/2023,80.09,23534,24221
10/10/2023,80.44,23618,24268
10/9/2023,79.99,23415,24384
10/6/2023,77.71,23058,24396
10/5/2023,77.47,22731,24451
10/4/2023,78.57,22103,24845
10/3/2023,82.59,22063,25288
10/2/2023,82.57,21974,25697
9/29/2023,83.27,25665,26065
9/28/2023,83.77,26021,26206
9/27/2023,84.58,26862,26318
9/26/2023,83.93,25865,26348
9/25/2023,83.61,26084,26404
9/22/2023,83.58,25171,26413
9/21/2023,84.56,25144,26481
9/20/2023,84.46,24242,27287
9/19/2023,84.89,25356,27954
9/18/2023,85.08,23597,28552
9/15/2023,85.11,23882,29288
9/14/2023,85.39,28639,30006
9/13/2023,84.33,28756,30455
9/12/2023,84.44,28201,30781
9/11/2023,83.81,27493,31147
9/8/2023,83.77,27771,31548
9/7/2023,83.29,27705,31909
9/6/2023,83.52,27312,32245
9/5/2023,83.41,26702,32728
9/4/2023,83.01,26224,33206
9/1/2023,82.5,26192,33697
8/31/2023,81.82,37227,34185
8/30/2023,80.88,34254,33922
8/29/2023,80.76,34323,33747
8/28/2023,80.06,34633,33539
8/25/2023,80.22,34663,33298
8/24/2023,79.49,35369,33065
8/23/2023,79.72,33646,32989
8/22/2023,80.38,33684,33431
8/21/2023,80.6,33522,33548
8/18/2023,80.64,33186,32614
8/17/2023,79.99,32731,31733
8/16/2023,79.54,34564,30894
8/15/2023,80.23,33866,29968
8/14/2023,81.13,33595,29076
8/11/2023,81.61,33510,28200
8/10/2023,81.56,33281,27274
8/9/2023,82.33,31628,26315
8/8/2023,81.58,31204,25421
8/7/2023,80.98,31019,24540
8/4/2023,81.39,31167,23680
8/3/2023,80.48,34238,22819
8/2/2023,78.89,40275,21783
8/1/2023,80.25,35429,20348
7/31/2023,80.97,19523,19205
7/28/2023,80.16,19963,19148
7/27/2023,79.6,20143,19092
7/26/2023,78.73,20684,18948
7/25/2023,79.09,20486,18712
7/24/2023,78.64,20443,18480
7/21/2023,77.46,19622,18251
7/20/2023,76.62,18900,18255
7/19/2023,76.47,18224,18299
7/18/2023,76.31,17987,18389
7/17/2023,75.32,18117,18489
7/14/2023,75.97,18244,18565
7/13/2023,77.06,18703,18632
7/12/2023,76.17,18754,18623
7/11/2023,75.56,18283,18563
7/10/2023,74.24,18663,18487
7/7/2023,74.47,19131,18402
7/6/2023,73.2,17979,18289
7/5/2023,73.68,17147,18241
7/4/2023,73.43,16996,18245
7/3/2023,71.99,17012,18224
6/30/2023,73.29,19688,18183
6/29/2023,72.74,19550,17980
6/28/2023,72.73,19582,17775
6/27/2023,71.38,19485,17568
6/26/2023,72.22,19256,17380
